Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
zwOAiVT4pAmpNGXzj-t5MA,2022-10-10 21:00:35.200951,Lilia,italian,4,1046,567 Union Ave,11211,40.71757,-73.95236
3uyBZNbDk2vRFBBWZOdIUA,2022-10-10 21:00:35.200981,Dominick's Restaurant,italian,4,408,2335 Arthur Ave,10458,40.85434,-73.889
562aZEpTDdYKDe5hWuDyFA,2022-10-10 21:00:35.200999,La Gioconda,italian,4,186,226 E 53rd St,10022,40.75716,-73.96833
-hUvO0C0A-pGZdiSKvjoFw,2022-10-10 21:00:35.201016,Babbo,italian,4,2548,110 Waverly Pl,10011,40.732283,-73.999284
lgFApPVpbXnsIFw1CRJORw,2022-10-10 21:00:35.201034,Cellini Restaurant,italian,4,167,65 E 54th St,10022,40.760115,-73.972686
TWH4MjLtN1fKlF-7n6YXHg,2022-10-10 21:00:35.201052,Lil Frankie's,italian,4,1378,19 1st Ave,10003,40.723625,-73.988555
idxD3X7WfLFPZMoFnCRIQQ,2022-10-10 21:00:35.201070,Il Cantinori,italian,4,277,32 E 10th St,10003,40.7322779619352,-73.9929321762328
3P8hb1ZOCA8IjEGfqpSpxg,2022-10-10 21:00:35.201089,Sfoglia Restaurant,italian,4,310,1402 Lexington Ave,10128,40.783535,-73.952719
jDIVPYpxQAk1HUAi0NIlQw,2022-10-10 21:00:35.201107,Pazza Notte,italian,4,961,1375 Avenue of the Americas,10019,40.76348,-73.978091
77llOAEwInvK-oC2AHZ4nQ,2022-10-10 21:00:35.201125,Coppola's East,italian,4,409,378 3rd Ave,10016,40.74165,-73.98154
pTWFuMYed409y99N0zY05Q,2022-10-10 21:00:35.201143,Barbaresco Restaurant,italian,4,100,843 Lexington Ave,10065,40.76539,-73.96556
